test,loss,k_on_topoI,k_off_topoI,k_cat_topoI,k_on_gyrase,k_off_gyrase,k_cat_gyrase,sigma0_gyrase
49,3.1698999561449788,0.06164577304822767,0.9069048880563502,8.293426900791879,0.055575531894040645,0.3041996681998215,4.899723385953917,-0.131420315695687
50,2.5658904834252394,0.0434687150672869,0.27848594223943696,10.323800491475316,0.0861063013822964,0.23956396438652544,8.550837221372351,-0.11154144367518054
51,13.871740326598022,0.051861860123894134,0.09262887274792232,17.710527359487134,0.0948071306280735,0.5748486023283786,3.053173075492243,-0.0880579263071026
52,0.5772653057588505,0.013803909141052244,0.36397769132553714,12.266508113017776,0.06495013597685104,0.16785149269908567,6.44161239000104,-0.12268107344693552
53,1.1693724770611063,0.00786812477856615,0.15411807484983653,19.004238028593974,0.01014313075595865,0.06805142222148398,12.775366866476995,-0.11605211545042604
54,10.408318663388991,0.07638481838742009,0.03802703457652684,15.771680947429573,0.07419557129036054,0.39057949953146953,17.635128266166554,-0.13819305078782868
55,3.610016038674295,0.09760595757886693,0.4584716984088039,9.433585582258829,0.08106364871565268,0.45230812181283675,14.440316280389027,-0.10404549812563049
56,0.8643715549503859,0.02325250446361406,0.18917469408953438,1.8821874033006907,0.04163159895461736,0.3019010072394957,7.767580897833737,-0.09297088149082834
57,2.360306600036912,0.005400073991529341,0.7093069151383202,10.713771504586767,0.07072825310206761,0.0632553325816711,9.681733226930412,-0.08470989914039348
58,1.382090257834705,0.03578264038727456,0.3378148275433446,7.852200315673937,0.08817855397497351,0.5167017880838466,11.091615556072998,-0.12101919372526952
59,2.8965612482809764,0.011563494958828885,0.2750269925336187,13.033100856208303,0.09126750597464514,0.14841610910710296,3.7291598600481386,-0.09972755782682986
60,5.532506633618395,0.01802921176344372,0.8074540540512913,14.06438953741328,0.03002367657839597,0.24655787699286763,15.901138212804657,-0.14308197269429504
