test,loss,RNAP_dist,fold_change,k_on,width,threshold,k_off,k_cat
58,0.1754530001641706,314.3042676648205,9.641241239348913,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
59,0.31552509825151137,413.5680809173308,43.04736821656121,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
60,1.9561827966708687,461.04916727240766,23.91328073527401,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
61,1.036875989275315,309.8740741248785,18.847659114893197,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
62,0.5364199728870948,394.6949764494303,9.137385818620986,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
63,1.757786795729463,353.11262050620974,14.936445147882212,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
64,0.7627007683309,331.69780797833204,21.238710935100805,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
65,0.17045631669745154,424.61904278860175,39.86786008473433,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
66,0.009216571308076212,438.8845862822354,42.110257542019234,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
67,0.011503883973006751,493.9196419176413,46.380231717121575,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
68,0.6539333449479919,483.88514379219316,47.21517186110588,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
69,0.06401237488357647,454.69347448906296,45.276585289515666,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
70,0.019915082532034157,455.7608127750701,49.936290160510936,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
71,0.008344674284302987,498.4460283680695,49.877332527651944,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
72,0.2698670565810004,498.63287224816304,42.5789335078443,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
73,0.04024714881519822,475.1483517116031,37.18478285130174,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
74,0.3951392278336693,431.85448765528184,41.16963482167708,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
75,1.958073831212422,373.560656463435,48.344397479313216,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
76,4.768410847886466,439.7773457913202,45.417721873872885,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
77,0.05317209473620965,483.7261576584528,34.08968017170557,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
78,1.82486116644276,405.44249433735393,38.534177965228196,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
79,0.013083282090568913,469.000756079762,41.50643339784513,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
80,3.408693006766951,441.8419054274623,44.16175233835908,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
81,1.4992719575914817,398.0252575919014,48.581364946501004,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
82,4.651441286015346,380.54243167205937,31.494123704339103,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
83,1.5393976963556504,492.44013722430316,46.50091159961021,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
84,0.22887752556655222,365.19285838573205,36.56815105091795,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
85,12.485766696333991,413.2119666549766,38.44659802779997,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
86,8.001197281049905,464.3401763870443,34.80753414039972,0.0003538809645019,0.0042457821595082,0.0115578878805131,0.2074467182450521,15.10842990308722
